degrees,count
6,49
7,75
8,88
9,105
10,118
11,87
12,76
13,67
14,34
15,24
16,34
17,18
18,23
19,25
20,11
21,10
22,10
23,9
24,9
25,6
26,7
27,8
28,8
29,10
30,6
31,8
32,6
33,7
34,2
35,2
36,1
37,5
38,2
39,3
40,1
41,6
42,4
43,3
45,2
46,2
49,1
50,1
51,1
53,2
57,1
58,1
60,2
61,1
64,1
66,1
67,1
69,1
70,1
75,1
87,1
88,2
91,1
92,1
94,1
107,1
112,1
114,1
122,2
134,1
146,1
